title,price,image
HARRY POTTER Ensemble pyjama fille,"9,99 €","https://media1.auchan.fr/images/h3e/ha9/26408459730974.jpg,https://media1.auchan.fr/images/h7f/hcd/26409558179870.jpg"
HARRY POTTER Parure housse de couette en coton HARRY POTTER HOGWARTS,"19,49 €","//www.auchan.fr/images/h7a/he8/16540183396382.jpg,//www.auchan.fr/images/hf3/h6e/16540559671326.jpg"
Cartable à roulettes noir Harry Potter,"34,99 €","https://media1.auchan.fr/images/hd0/h69/16558054965278.jpg,https://media1.auchan.fr/images/h5c/ha1/16558157103134.jpg,https://media1.auchan.fr/images/h3b/hf3/16558158774302.jpg,https://media1.auchan.fr/_ui/v58_62d60cb1321/mobile/images/missing-product-70x70.jpg,https://media1.auchan.fr/images/h4b/h57/16558160871454.jpg,https://media1.auchan.fr/images/h32/h3b/16558161821726.jpg,https://media1.auchan.fr/_ui/v58_62d60cb1321/mobile/images/missing-product-70x70.jpg"
MILKY KISS Sac à dos à roulettes bleu THE WINNER,"29,99 €","https://media1.auchan.fr/images/hf9/he7/15398817300510.jpg,https://media1.auchan.fr/images/h74/h90/16599427842078.jpg,https://media1.auchan.fr/images/heb/h27/16599428694046.jpg"
LEGO Harry Potter 76383 Poudlard : le cours de potions,"25,99 €","https://media1.auchan.fr/images/hfc/h4a/16492881182750.jpg,https://media1.auchan.fr/images/h39/hbb/16493067403294.jpg,https://media1.auchan.fr/images/h79/hb2/16493069762590.jpg,https://media1.auchan.fr/images/ha8/hf2/16493072121886.jpg,https://media1.auchan.fr/images/h42/h4d/16493075791902.jpg,https://media1.auchan.fr/images/h5b/h40/16493077397534.jpg,https://media1.auchan.fr/images/he0/hd4/16493079822366.jpg,https://media1.auchan.fr/images/hf7/hbf/16493074448414.jpg"
Sac à dos 2 compartiments noir HARRY POTTER,"19,99 €","https://media1.auchan.fr/images/h2c/hf9/16576501809182.jpg,https://media1.auchan.fr/images/h0d/ha7/16576633896990.jpg,https://media1.auchan.fr/_ui/v58_62d60cb1321/mobile/images/missing-product-70x70.jpg,https://media1.auchan.fr/_ui/v58_62d60cb1321/mobile/images/missing-product-70x70.jpg,https://media1.auchan.fr/images/hda/h48/16576637141022.jpg,https://media1.auchan.fr/images/h65/hbc/16576638189598.jpg,https://media1.auchan.fr/_ui/v58_62d60cb1321/mobile/images/missing-product-70x70.jpg"
Cartable 38 cm CP/CE1/CE2 bleu HARRY POTTER,"19,99 €","//www.auchan.fr/images/h8f/ha2/26540565069854.jpg,//www.auchan.fr/images/h3b/h8e/26541035683870.jpg,//www.auchan.fr/images/haa/hb2/26541035946014.jpg,//www.auchan.fr/images/h02/h4d/26541038895134.jpg,//www.auchan.fr/images/h98/h75/26541036797982.jpg,//www.auchan.fr/images/h99/h33/26541038600222.jpg,//www.auchan.fr/images/ha4/h87/26541038305310.jpg"
Agenda scolaire journalier Harry Potter POUDLARD gris clair 2021-2022,"6,08 €",https://media1.auchan.fr/images/h66/h29/17296482172958.jpg
Sac à dos 1 compartiment gris HARRY POTTER,"19,99 €","https://media1.auchan.fr/images/h44/h81/17417190539294.jpg,https://media1.auchan.fr/images/hf9/hf5/17417223405598.jpg,https://media1.auchan.fr/images/hdd/h8b/17417225306142.jpg,https://media1.auchan.fr/images/h52/hcf/17417224126494.jpg,https://media1.auchan.fr/images/h95/hbf/17417225994270.jpg,https://media1.auchan.fr/images/hb7/hbc/17417224847390.jpg"
HARRY POTTER T-shirt manches longues fille,"3,99 €","https://media1.auchan.fr/images/h4b/h55/26577377460254.jpg,https://media1.auchan.fr/images/h49/h5e/26578127749150.jpg"
